09:16:57.215 INFO  [main] org.apache.spark.SparkContext - Running Spark version 2.2.3
09:16:58.666 INFO  [main] org.apache.spark.SparkContext - Submitted application: demo
09:16:58.697 INFO  [main] org.apache.spark.SecurityManager - Changing view acls to: user
09:16:58.697 INFO  [main] org.apache.spark.SecurityManager - Changing modify acls to: user
09:16:58.697 INFO  [main] org.apache.spark.SecurityManager - Changing view acls groups to: 
09:16:58.697 INFO  [main] org.apache.spark.SecurityManager - Changing modify acls groups to: 
09:16:58.697 INFO  [main] org.apache.spark.SecurityManager - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(user); groups with view permissions: Set(); users  with modify permissions: Set(user); groups with modify permissions: Set()
09:16:59.181 INFO  [main] org.apache.spark.util.Utils - Successfully started service 'sparkDriver' on port 51178.
09:16:59.212 INFO  [main] org.apache.spark.SparkEnv - Registering MapOutputTracker
09:16:59.228 INFO  [main] org.apache.spark.SparkEnv - Registering BlockManagerMaster
09:16:59.228 INFO  [main] org.apache.spark.storage.BlockManagerMasterEndpoint - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
09:16:59.228 INFO  [main] org.apache.spark.storage.BlockManagerMasterEndpoint - BlockManagerMasterEndpoint up
09:16:59.244 INFO  [main] org.apache.spark.storage.DiskBlockManager - Created local directory at C:\Users\user\AppData\Local\Temp\blockmgr-c5a4da37-0f00-49df-a04c-3718932b35f2
09:16:59.259 INFO  [main] org.apache.spark.storage.memory.MemoryStore - MemoryStore started with capacity 1954.5 MB
09:16:59.306 INFO  [main] org.apache.spark.SparkEnv - Registering OutputCommitCoordinator
09:16:59.400 INFO  [main] org.spark_project.jetty.util.log - Logging initialized @3824ms
09:16:59.462 INFO  [main] org.spark_project.jetty.server.Server - jetty-9.3.z-SNAPSHOT
09:16:59.462 INFO  [main] org.spark_project.jetty.server.Server - Started @3899ms
09:16:59.494 INFO  [main] org.spark_project.jetty.server.AbstractConnector - Started ServerConnector@71f67a79{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
09:16:59.494 INFO  [main] org.apache.spark.util.Utils - Successfully started service 'SparkUI' on port 4040.
09:16:59.509 INFO  [main] org.spark_project.jetty.server.handler.ContextHandler - Started o.s.j.s.ServletContextHandler@5400db36{/jobs,null,AVAILABLE,@Spark}
09:16:59.509 INFO  [main] org.spark_project.jetty.server.handler.ContextHandler - Started o.s.j.s.ServletContextHandler@13006998{/jobs/json,null,AVAILABLE,@Spark}
